,Latitude,Longitude,Residual
1546,38.613779,-121.36801399999999,45.645317
125,36.985119,-119.65833899999998,6.655796
176,36.597442,-119.50365900000001,8.960243
2527,34.54166,-119.79146000000001,0.42469406
1604,34.030833,-117.61721999999999,11.56955
392,32.67618,-115.48307,2.9129791
1176,33.996359999999996,-117.4924,8.8229065
721,34.067029999999995,-117.7514,25.28418
2272,33.362593,-117.09023,10.165909
1700,34.05977,-117.14731,25.223595
2318,32.789565,-116.944308,14.994263
423,32.67618,-115.48307,6.7447815
1308,38.613779,-121.36801399999999,12.206936
2842,37.079378999999996,-121.600031,4.673912
2545,34.489740000000005,-120.04692,3.1327171
2796,37.079378999999996,-121.600031,4.762089
2936,36.999571,-121.574684,35.214733
2234,33.362593,-117.09023,83.80318
2885,37.338135,-121.849783,0.041805267
2938,37.348496999999995,-121.894898,83.639
596,33.859662,-118.20070700000001,1.1271286
1981,32.57816,-116.92135,8.323486
1425,38.613779,-121.36801399999999,16.878098
558,34.1326,-118.1272,14.544407
2764,37.348496999999995,-121.894898,16.429783
1975,32.57816,-116.92135,10.699684
2784,36.999571,-121.574684,10.569954
2328,34.489740000000005,-120.04692,4.5975227
2778,37.079378999999996,-121.600031,12.760464
432,32.67618,-115.48307,10.216408
2285,33.362593,-117.09023,1.7672119
1488,38.494475,-121.21113100000001,7.9752274
198,36.597442,-119.50365900000001,5.0456924
1032,33.708529999999996,-116.21537,8.967705
1260,38.613779,-121.36801399999999,1.2937241
607,34.1326,-118.1272,8.600891
1677,35.1019,-115.7767,9.0720825
3027,37.348496999999995,-121.894898,0.73970795
1795,34.4251,-117.5898,6.9101105
2649,34.427775,-119.69121799999999,13.110321
2264,33.362593,-117.09023,47.71027
1141,33.708529999999996,-116.21537,3.3421783
559,34.1326,-118.1272,15.879021
2408,34.403052,-119.45791399999999,2.973648
177,36.634225,-120.38233100000001,11.430817
304,36.710833,-119.7775,7.5836487
912,33.996359999999996,-117.4924,11.827126
1763,34.05977,-117.14731,6.9470367
1446,38.71209,-121.38108999999999,11.27317
1988,32.57816,-116.92135,22.584877
34,36.710833,-119.7775,12.14698
656,34.067029999999995,-117.7514,10.753883
1655,34.89398,-117.024804,13.76963
1301,38.302591,-121.42083799999999,5.4025574
1961,33.362593,-117.09023,9.341721
849,33.901389,-118.205,2.254036
2578,34.942871999999994,-120.43561100000001,41.47951
3023,37.338135,-121.849783,7.7475204
357,32.67618,-115.48307,18.192467
235,36.597442,-119.50365900000001,15.43454
2392,34.427775,-119.69121799999999,7.4395103
1630,34.030833,-117.61721999999999,4.772133
1201,33.996359999999996,-117.4924,2.7051773
79,36.597442,-119.50365900000001,13.777237
2503,34.54166,-119.79146000000001,0.27184296
2683,34.427775,-119.69121799999999,1.83144
2308,33.362593,-117.09023,7.070801
549,33.792359999999995,-118.17533,11.809219
2785,37.348496999999995,-121.894898,0.58511734
111,36.597442,-119.50365900000001,8.354668
1140,33.996359999999996,-117.4924,4.017914
2176,32.842318,-116.768293,7.788414
1754,34.05977,-117.14731,0.4839096
672,34.38344,-118.5284,38.787064
2863,37.348496999999995,-121.894898,8.682301
877,33.996359999999996,-117.4924,36.864777
482,32.67618,-115.48307,1.7442474
1408,38.613779,-121.36801399999999,7.053917
859,34.066590000000005,-118.22688000000001,6.2784653
1520,38.613779,-121.36801399999999,32.40334
2868,37.348496999999995,-121.894898,19.158558
2265,33.362593,-117.09023,13.690006
628,34.1326,-118.1272,0.10005188
1322,38.613779,-121.36801399999999,6.7113457
205,36.597442,-119.50365900000001,9.633064
2862,37.226862,-121.979675,4.24181
542,34.181977,-118.36303600000001,12.75132
931,33.996359999999996,-117.4924,5.800705
2190,33.362593,-117.09023,11.867855
1181,33.996359999999996,-117.4924,4.1663475
2323,34.44551,-119.8284,3.655529
1474,38.494475,-121.21113100000001,35.277298
2403,34.725352,-120.42871699999999,2.506054
530,33.859662,-118.20070700000001,3.2295074
2470,34.403052,-119.45791399999999,0.26304626
1364,38.302591,-121.42083799999999,7.5320473
796,34.669739,-118.13051100000001,2.9370193
2123,33.362593,-117.09023,2.5490875
1895,34.030833,-117.61721999999999,13.510635
161,36.597442,-119.50365900000001,9.040466
906,33.996359999999996,-117.4924,4.5526466
2702,37.348496999999995,-121.894898,6.2600136
2192,32.842318,-116.768293,4.1900253
93,36.710833,-119.7775,9.148464
2489,34.63782,-120.4575,1.2786369
1977,32.57816,-116.92135,0.6032562
1158,33.56125,-116.153383,64.56349
2516,34.54166,-119.79146000000001,0.35084152
56,36.985119,-119.65833899999998,10.539967
1163,33.996359999999996,-117.4924,2.744217
106,36.597442,-119.50365900000001,10.219906
2734,37.338135,-121.849783,15.759689
1208,33.996359999999996,-117.4924,6.9123917
261,36.985119,-119.65833899999998,15.976418
1708,34.106678,-117.27406299999998,6.260208
2848,37.079378999999996,-121.600031,8.331638
2241,32.842318,-116.768293,12.480362
886,33.996359999999996,-117.4924,3.2643013
2937,37.348496999999995,-121.894898,18.375725
2706,37.338135,-121.849783,20.963737
434,32.67618,-115.48307,0.58454895
1682,35.1019,-115.7767,0.2977829
86,36.985119,-119.65833899999998,5.347927
187,36.597442,-119.50365900000001,14.128563
976,33.708529999999996,-116.21537,10.316025
1094,33.996359999999996,-117.4924,29.765823
884,33.92086,-116.85841,1.7549973
